host,avgRTT,packetLoss,latency,hopCount,bandwidth,yukOrani,gelenPaket,gidenPaket,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server
h4,392.757,0.0,62,3,10000000,26431.31847133758,4088484,61233,25.88384,0.976496,16.288654,67209812,66060288,1149524,1.7103514588018789,3,h14
h5,652.063,0.0,89,4,10000000,38640.60209424084,7288008,92347,35.744196,0.994434,22.544215,67209812,67108864,100948,0.1501983073542893,3,h10
h6,448.685,0.0,74,3,10000000,46357.86283185841,10351912,124965,25.755147,0.975122,16.041891,67209812,66060288,1149524,1.7103514588018789,3,h10
h7,337.802,0.0,88,4,10000000,60394.053846153845,15533040,169414,26.731357,0.969446,15.149337,67209812,62914560,4295252,6.390810913144645,3,h10
h8,373.443,0.0,66,3,10000000,78290.53741496599,22796320,221098,25.647665,0.961971,14.198869,67209812,60293120,6916692,10.29119379176362,3,h10
h9,232.606,0.0,40,2,10000000,98907.11585365854,32159622,281912,21.235508,0.941475,12.326609,67209812,59244544,7965268,11.851346943211208,3,h10
h11,183.17,0.0,26,1,10000000,113210.68784530388,40693178,289091,26.38392,0.971378,15.432967,67209812,62914560,4295252,6.390810913144645,3,h14
h12,230.269,0.0,53,2,10000000,121993.51262626264,47959974,349457,25.832464,0.965522,14.624547,67209812,60293120,6916692,10.29119379176362,3,h14
h13,226.87,0.0,55,2,10000000,134276.2441860465,57319264,419521,25.440378,0.960797,14.066845,67209812,59244544,7965268,11.851346943211208,3,h14
h2,333.219,0.0,121,5,10000000,7329.558139534884,4818,625524,36.622246,0.996023,24.004413,67209812,67371008,-161196,-0.239839980507608,3,h10
h3,210.017,0.0,51,2,10000000,6380.10101010101,5154,626476,34.797075,0.994988,22.999571,67209812,67371008,-161196,-0.239839980507608,3,h14
h4,274.269,0.0,74,3,10000000,12279.496240601504,998362,634811,35.794152,0.993892,22.141176,67209812,67108864,100948,0.1501983073542893,3,h14
h5,270.476,0.0,51,2,10000000,28200.1377245509,4060114,649309,25.453322,0.974541,15.941615,67209812,65798144,1411668,2.1003897466637755,3,h14
h6,517.13,0.0,90,3,10000000,39581.04975124378,7287918,667873,34.091274,0.992874,21.471722,67209812,67108864,100948,0.1501983073542893,3,h10
