host,avgRTT,packetLoss,latency,hopCount,bandwidth,yukOrani,gelenPaket,gidenPaket,psnr,ssim_first,ssim_second,type,server
h13,207.731,0.0,55,2,10000000,129779.18736383444,59068896,499751,23.785201,0.952044,13.19157,3,h10
h5,274.341,0.0,114,4,10000000,14672.758620689656,5034,1271496,36.308688,0.995395,23.368028,3,h14
h4,562.665,0.0,57,3,10000000,12826.44,4818,1277826,32.411572,0.990443,20.19661,3,h10
h3,319.889,0.0,110,4,10000000,16928.566176470587,1015158,1287127,34.407487,0.991622,20.768707,3,h10
h2,358.967,0.0,115,5,10000000,31944.329479768785,4225120,1301249,28.849476,0.976946,16.372596,3,h10
h1,577.682,0.0,81,3,10000000,42212.1004784689,7507566,1314763,33.446204,0.991223,20.566324,3,h14
h7,436.319,0.0,83,3,10000000,49063.44081632653,10681886,1338657,25.565657,0.97252,15.609835,3,h14
h8,219.733,0.0,74,2,10000000,61728.39857651245,15970352,1375328,26.435597,0.968953,15.079774,3,h14
h9,262.809,0.0,97,3,10000000,78665.60567823343,23518902,1418095,24.94381,0.963958,14.431954,3,h14
h11,160.554,0.0,37,1,10000000,98124.18130311614,33164062,1473774,25.447351,0.962596,14.270807,3,h14
h12,260.331,0.0,70,3,10000000,111795.23393316196,41959690,1528656,26.589331,0.967827,14.925029,3,h10
h13,212.124,0.0,50,2,10000000,120011.52,49420350,1584546,25.76973,0.96543,14.613009,3,h10
h6,257.083,0.0,74,3,10000000,131736.2689804772,59075066,1655354,21.312678,0.943245,12.459923,3,h10
h4,258.104,0.0,64,3,10000000,2157.4268292682927,5028,171881,35.674657,0.994937,22.955618,3,h14
h3,804.795,0.0,87,4,10000000,2070.9052631578948,4776,191960,26.903765,0.975563,16.119584,3,h10
h2,308.304,0.0,89,4,10000000,9201.151515151516,1014134,200418,23.940126,0.956442,13.609325,3,h10
