host,avgRTT,packetLoss,latency,hopCount,bandwidth,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server,real_mos
h1,336.989,0.0,68,4,10000000,14.026246,0.614719,4.142228,67209812,35389440,31820372,47.34483113864386,1,h10,2
h2,375.653,0.0,83,5,10000000,14.394258,0.622888,4.235301,67209812,33292288,33917524,50.46513744153904,1,h10,2
h3,709.607,0.0,60,4,10000000,14.271372,0.615379,4.149667,67209812,30670848,36538964,54.36552032015801,1,h10,2
h4,257.509,0.0,44,3,10000000,14.068752,0.610058,4.090002,67209812,28835840,38373972,57.0957883351913,1,h10,2
h5,370.439,0.0,62,4,10000000,14.112683,0.606448,4.04998,67209812,27262976,39946836,59.436018062362685,1,h10,2
h7,334.603,0.0,86,5,10000000,14.165049,0.600675,3.986734,67209812,25427968,41781844,62.16628607739596,1,h10,2
h8,258.085,0.0,32,3,10000000,14.430128,0.609892,4.088148,67209812,23855104,43354708,64.50651580456734,1,h10,2
h6,555.607,0.0,34,3,10000000,13.85676,0.601754,3.998487,67209812,22544384,44665428,66.45670724387683,1,h10,2
h11,1263.119,0.0,38,2,10000000,26.400649,0.954655,13.434721,67209812,66584576,625236,0.930274883078084,1,h10,4
h12,1166.313,0.0,58,3,10000000,21.367146,0.887201,9.476939,67209812,63700992,3508820,5.2206960495589545,1,h10,3
h13,1352.436,0.0,36,2,10000000,18.1646,0.803947,7.076274,67209812,57933824,9275988,13.801538382520697,1,h10,2
h21,1428.128,0.0,81,4,10000000,15.45932,0.724967,5.606152,67209812,50855936,16353876,24.33257215479192,1,h10,2
h22,1329.367,0.0,76,4,10000000,15.695071,0.702259,5.261609,67209812,45088768,22121044,32.91341448775366,1,h10,2
h23,611.114,0.0,72,4,10000000,15.175751,0.671125,4.829687,67209812,41680896,25528916,37.98391222995833,1,h10,2
h1,354.916,0.0,81,4,10000000,14.286577,0.636959,4.400443,67209812,38273024,28936788,43.05440997216299,1,h10,2
h2,320.732,0.0,76,4,10000000,14.450248,0.627875,4.293116,67209812,35127296,32082516,47.73486942650576,1,h10,2
h3,317.075,0.0,72,4,10000000,13.997116,0.604497,4.028499,67209812,32768000,34441812,51.24521401726284,1,h10,2
h4,262.406,0.0,57,3,10000000,14.068683,0.606159,4.046785,67209812,30146560,37063252,55.14559689588181,1,h10,2
h5,312.538,0.0,75,4,10000000,13.905777,0.597985,3.95758,67209812,28311552,38898260,57.87586491091509,1,h10,2
h7,319.11,0.0,79,4,10000000,13.977627,0.594212,3.917011,67209812,27000832,40208980,59.826056350224576,1,h10,2
h8,263.022,0.0,57,3,10000000,13.918771,0.593752,3.912085,67209812,25165824,42043988,62.55632436525785,1,h10,2
h9,352.055,0.0,37,2,10000000,13.851845,0.599223,3.970974,67209812,23855104,43354708,64.50651580456734,1,h10,2
h6,381.608,0.0,54,3,10000000,13.847659,0.594788,3.923177,67209812,22806528,44403284,66.06666895601492,1,h10,2
h12,1519.16,0.0,48,3,10000000,28.892238,0.969538,15.162352,67209812,66846720,363092,0.5402365952161866,1,h10,4
h13,999.711,0.0,32,2,10000000,21.325824,0.89453,9.768719,67209812,64225280,2984532,4.440619473835159,1,h10,3
h21,1608.336,0.0,85,4,10000000,18.621491,0.820487,7.459052,67209812,59244544,7965268,11.851346943211208,1,h10,2
h22,1576.257,0.0,91,4,10000000,16.393041,0.752163,6.058332,67209812,52166656,15043156,22.38238071548244,1,h10,2
h23,1072.334,0.0,78,4,10000000,15.146828,0.69644,5.177555,67209812,46137344,21072468,31.35326133630608,1,h10,2
h1,337.059,0.0,85,4,10000000,14.75989,0.667827,4.78636,67209812,42467328,24742484,36.81379736637263,1,h10,2
h2,327.593,0.0,91,4,10000000,15.146319,0.647868,4.532949,67209812,39321600,27888212,41.4942568207154,1,h10,2
h3,330.27,0.0,78,4,10000000,14.357627,0.628582,4.301365,67209812,36438016,30771796,45.78467798719628,1,h10,2
h4,256.092,0.0,55,3,10000000,14.464217,0.614549,4.140311,67209812,33554432,33655380,50.07509915367715,1,h10,2
h5,313.273,0.0,79,4,10000000,14.19195,0.603256,4.014895,67209812,30670848,36538964,54.36552032015801,1,h10,2
h7,315.781,0.0,91,4,10000000,14.016295,0.598653,3.964805,67209812,28835840,38373972,57.0957883351913,1,h10,2
h8,278.979,0.0,62,3,10000000,14.005901,0.59516,3.927165,67209812,27262976,39946836,59.436018062362685,1,h10,2
h9,212.474,0.0,34,2,10000000,14.13198,0.596762,3.944383,67209812,25427968,41781844,62.16628607739596,1,h10,2
h11,255.825,0.0,38,2,10000000,14.255947,0.609368,4.082318,67209812,23855104,43354708,64.50651580456734,1,h10,2
h6,454.126,0.0,51,3,10000000,13.797667,0.601994,4.001102,67209812,22806528,44403284,66.06666895601492,1,h10,2
h13,1187.714,0.0,41,2,10000000,28.306272,0.967791,14.920202,67209812,66584576,625236,0.930274883078084,1,h10,4
h21,1174.792,0.0,75,4,10000000,20.875658,0.881892,9.277199,67209812,63176704,4033108,6.00077262528275,1,h10,3
h22,1516.234,0.0,99,5,10000000,16.769124,0.724683,5.601667,67209812,57671680,9538132,14.191576670382592,1,h10,2
h23,1383.012,0.0,81,4,10000000,15.979298,0.716487,5.474272,67209812,50331648,16878164,25.11264873051572,1,h10,2
h1,1345.315,0.0,75,4,10000000,15.409134,0.681674,4.971281,67209812,44826624,22383188,33.30345277561556,1,h10,2
h2,585.721,0.0,99,5,10000000,14.66106,0.65179,4.581585,67209812,40894464,26315348,39.154027093544016,1,h10,2
h3,357.944,0.0,81,4,10000000,14.279755,0.626469,4.276734,67209812,37748736,29461076,43.83448654788678,1,h10,2
h4,287.181,0.0,45,3,10000000,14.260951,0.615861,4.155119,67209812,34865152,32344660,48.12490771436766,1,h10,2
h5,314.664,0.0,69,4,10000000,14.217338,0.610738,4.097577,67209812,32243712,34966100,52.02529059298663,1,h10,2
h7,363.194,0.0,96,5,10000000,14.081226,0.600853,3.988673,67209812,29622272,37587540,55.925673471605606,1,h10,2
h8,268.188,0.0,81,3,10000000,14.044395,0.600392,3.983655,67209812,27787264,39422548,58.65594148663889,1,h10,2
h9,214.09,0.0,33,2,10000000,14.026689,0.597299,3.950175,67209812,26214400,40995412,60.99617121381027,1,h10,2
h11,252.878,0.0,50,2,10000000,13.661528,0.591364,3.886638,67209812,24641536,42568276,63.336400940981655,1,h10,2
h12,432.316,0.0,44,3,10000000,13.770706,0.597762,3.955171,67209812,23068672,44141140,65.67663066815304,1,h10,2
h6,261.748,0.0,60,3,10000000,13.841735,0.600409,3.983848,67209812,22020096,45189716,67.23678381960062,1,h10,2
h21,1365.0,0.0,79,5,10000000,20.543884,0.814675,7.320664,67209812,66322432,887380,1.3203131709399811,1,h10,2
h22,1135.759,0.0,67,4,10000000,18.41562,0.765148,6.292051,67209812,63438848,3770964,5.610734337420851,1,h10,2
h23,1557.501,0.0,90,6,10000000,10.693335,0.465614,2.721452,67209812,60293120,6916692,10.29119379176362,1,h10,1
h1,1445.006,0.0,79,5,10000000,15.450642,0.672993,4.854428,67209812,51642368,15567444,23.16245729120623,1,h10,2
h2,1466.357,0.0,67,4,10000000,14.563309,0.630123,4.31943,67209812,45088768,22121044,32.91341448775366,1,h10,2
h3,583.538,0.0,90,6,10000000,14.323271,0.618029,4.179699,67209812,41156608,26053204,38.76398880568212,1,h10,2
h4,308.059,0.0,79,3,10000000,14.633621,0.609616,4.085076,67209812,37748736,29461076,43.83448654788678,1,h10,2
h5,365.474,0.0,95,5,10000000,14.441683,0.600097,3.980458,67209812,35127296,32082516,47.73486942650576,1,h10,2
h7,327.992,0.0,68,4,10000000,13.944016,0.588831,3.859795,67209812,32768000,34441812,51.24521401726284,1,h10,2
h8,257.629,0.0,49,3,10000000,14.23994,0.586821,3.838621,67209812,30146560,37063252,55.14559689588181,1,h10,2
